AntwoordKey,Antwoordoptie,Antwoordomschrijving
-1,Onbekend,Onbekend
311,2,komt voor en maakt me bang
312,3,komt voor en maakt me boos
313,4,komt voor en geeft me een andere emotie
314,5,komt voor en doet me niet veel
315,6,weet niet of het voorkomt
316,1,komt niet voor
317,2,komt voor en maakt me bang
318,3,komt voor en maakt me boos
319,4,komt voor en geeft me een andere emotie
320,5,komt voor en doet me niet veel
321,6,weet niet of het voorkomt
322,1,komt niet voor
323,2,komt voor en maakt me bang
324,3,komt voor en maakt me boos
325,4,komt voor en geeft me een andere emotie
326,5,komt voor en doet me niet veel
327,6,weet niet of het voorkomt
328,5,"€ 3.500,- en meer per maand"
329,6,Geen antwoord
330,4,"€ 2.150,- tot € 3.500,- per maand"
331,,
332,0,Not Answered
333,1,Answered
334,0,Not Answered
335,1,Answered
336,0,Not Answered
337,1,Answered
338,0,Not Answered
339,1,Answered
340,0,Not Answered
341,1,Answered
342,,
343,1,Ja
344,2,"Nee, niet in mijn eigen buurt maar wel in Breda"
345,3,Nee
346,4,Weet niet/geen mening
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,1,1
362,10,10
363,2,2
364,3,3
365,4,4
366,5,5
367,6,6
368,7,7
369,8,8
370,9,9
371,1,helemaal eens
372,2,eens
373,3,"niet eens, niet oneens"
374,4,oneens
375,5,helemaal oneens
376,6,weet niet/niet van toepassing
377,1,helemaal eens
378,2,eens
379,3,"niet eens, niet oneens"
380,4,oneens
381,5,helemaal oneens
382,6,weet niet/niet van toepassing
383,1,helemaal eens
384,2,eens
385,3,"niet eens, niet oneens"
386,4,oneens
387,5,helemaal oneens
388,6,weet niet/niet van toepassing
389,1,helemaal eens
390,2,eens
391,3,"niet eens, niet oneens"
392,4,oneens
393,5,helemaal oneens
394,6,weet niet/niet van toepassing
395,1,helemaal eens
396,2,eens
397,3,"niet eens, niet oneens"
398,4,oneens
399,5,helemaal oneens
400,6,weet niet/niet van toepassing
401,1,helemaal eens
402,2,eens
403,3,"niet eens, niet oneens"
404,4,oneens
